Date,mac,signal,vendor
1550575655.49,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.49,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.8,ac:5f:3e:e8:5a:6f,-11,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575655.8,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575656.01,ac:5f:3e:e8:5a:6f,-30,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575657.05,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575657.36,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575657.67,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575657.88,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575658.3,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575658.3,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575659.23,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575659.35,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575661.42,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575661.43,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575668.83,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575668.83,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575669.12,da:a1:19:f7:f3:a7,-46,unknown
1550575669.12,da:a1:19:f7:f3:a7,-42,unknown
1550575669.13,da:a1:19:f7:f3:a7,-40,unknown
1550575669.22,da:a1:19:f7:f3:a7,-40,unknown
1550575669.23,da:a1:19:f7:f3:a7,-44,unknown
1550575671.2,d4:6a:6a:73:60:0f,-46,"Hon Hai Precision Ind. Co.,Ltd."
1550575671.2,d4:6a:6a:73:60:0f,-44,"Hon Hai Precision Ind. Co.,Ltd."
1550575671.41,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575671.41,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575671.72,d4:6a:6a:73:60:0f,-48,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.31,d4:6a:6a:73:60:0f,-38,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.31,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.42,d4:6a:6a:73:60:0f,-44,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.42,d4:6a:6a:73:60:0f,-44,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.94,d4:6a:6a:73:60:0f,-40,"Hon Hai Precision Ind. Co.,Ltd."
1550575679.94,d4:6a:6a:73:60:0f,-42,"Hon Hai Precision Ind. Co.,Ltd."
